Cell#,name,mchan,ap,rl,dp,dchan,ref,r,g,b,ap_atlas,rl_atlas,dp_atlas,expname,period,cth0001,cth0002,cth0003,cth0004,cth0005,cth0006,cth0007,cth0008,cth0009,cth0010,cth0011,cth0012,cth0013,cth0014,cth0015,cth0016,cth0017,cth0018,cth0019,cth0020,cth0021,cth0022,cth0023,cth0024,cth0025,cth0026,cth0027,cth0028,cth0029,cth0030,cth0031,cth0032,cth0033,cth0034,cth0035,cth0036,cth0037,cth0038,cth0039,cth0040,cth0041,cth0042,cth0043,cth0044,cth0045,cth0046,cth0047,cth0048,cth0049,cth0050,cth0051,cth0052,cth0053,cth0054,cth0055,cth0056,cth0057,cth0058,cth0059,cth0060,cth0061,cth0062,cth0063,cth0064,cth0065,cth0066,cth0067,cth0068,cth0069,cth0070,cth0071,cth0072,cth0073,cth0074,cth0075,cth0076,cth0077,cth0078,cth0079,cth0080,cth0081,cth0082,cth0083,cth0084,cth0085,cth0086,cth0087,cth0088,cth0089,cth0090,cth0091,cth0092,cth0093,cth0094,cth0095,cth0096,cth0097,cth0098,cth0099,cth0100,normcth0001,normcth0002,normcth0003,normcth0004,normcth0005,normcth0006,normcth0007,normcth0008,normcth0009,normcth0010,normcth0011,normcth0012,normcth0013,normcth0014,normcth0015,normcth0016,normcth0017,normcth0018,normcth0019,normcth0020,normcth0021,normcth0022,normcth0023,normcth0024,normcth0025,normcth0026,normcth0027,normcth0028,normcth0029,normcth0030,normcth0031,normcth0032,normcth0033,normcth0034,normcth0035,normcth0036,normcth0037,normcth0038,normcth0039,normcth0040,normcth0041,normcth0042,normcth0043,normcth0044,normcth0045,normcth0046,normcth0047,normcth0048,normcth0049,normcth0050,normcth0051,normcth0052,normcth0053,normcth0054,normcth0055,normcth0056,normcth0057,normcth0058,normcth0059,normcth0060,normcth0061,normcth0062,normcth0063,normcth0064,normcth0065,normcth0066,normcth0067,normcth0068,normcth0069,normcth0070,normcth0071,normcth0072,normcth0073,normcth0074,normcth0075,normcth0076,normcth0077,normcth0078,normcth0079,normcth0080,normcth0081,normcth0082,normcth0083,normcth0084,normcth0085,normcth0086,normcth0087,normcth0088,normcth0089,normcth0090,normcth0091,normcth0092,normcth0093,normcth0094,normcth0095,normcth0096,normcth0097,normcth0098,normcth0099,normcth0100,,,,,,,,,,,,,,,,,,,,,,,,,,
329,P9d,589,-1,4.400245,1.174677,2004-01-08_001_9,2004-01-08_001_4,0,1,1,4.4,1.431735,-11.5,2004-01-08_001-FINAL-no-gasp,CONTROL,100.128664,100.63545,84.847175,127.93912,94.969419,85.956241,113.951409,162.075922,107.680893,109.845828,150.42416,96.238623,147.163096,155.330252,114.224185,113.662323,143.693906,128.151246,137.780568,133.11305,160.257131,155.519145,123.992042,156.165127,174.289449,155.393693,154.446874,186.346392,133.243309,172.458011,138.254752,169.572789,160.452283,161.405471,216.364864,197.077552,142.18485,154.857408,204.47636,161.696601,155.635956,259.027839,190.280591,165.335613,159.987883,166.741753,119.295481,184.580634,162.201625,166.125565,90.548845,68.065285,58.024145,51.641419,70.566267,95.749063,134.868916,112.653382,100.086091,103.038837,94.163315,80.946779,87.455724,106.706411,113.719405,111.953297,74.308155,129.356741,98.037256,85.806884,116.174798,97.309282,100.02418,89.020465,97.74524,96.26609,104.940725,122.916366,126.951616,108.817393,57.216835,89.612933,84.472831,123.391024,105.961584,110.831846,88.956841,124.484668,116.749212,94.586956,88.557046,88.737588,119.45635,84.576066,94.957087,111.896824,95.715748,86.750586,109.176027,127.930359,0.386556,0.388512,0.32756,0.49392,0.366638,0.331842,0.43992,0.625709,0.415712,0.42407,0.580726,0.371538,0.568136,0.599666,0.440973,0.438804,0.554743,0.494739,0.531914,0.513895,0.618687,0.600395,0.478682,0.602889,0.67286,0.599911,0.596256,0.719407,0.514398,0.665789,0.533745,0.654651,0.61944,0.62312,0.835296,0.760835,0.548917,0.597841,0.789399,0.624244,0.600846,1,0.734595,0.638293,0.617647,0.643721,0.460551,0.71259,0.626194,0.641343,0.349572,0.262772,0.224007,0.199366,0.272427,0.369648,0.520673,0.434908,0.386391,0.397791,0.363526,0.312502,0.337631,0.41195,0.439024,0.432206,0.286873,0.499393,0.378482,0.331265,0.448503,0.375671,0.386152,0.343671,0.377354,0.371644,0.405133,0.47453,0.490108,0.420099,0.220891,0.345959,0.326115,0.476362,0.409074,0.427876,0.343426,0.480584,0.450721,0.365161,0.341882,0.342579,0.461172,0.326513,0.36659,0.431988,0.369519,0.334908,0.421484,0.493887,1,,,,,,,,,,,,,,,,,,,,,,,,,
624,R18a,155,1.128377,3.397883,3.342805,k57_1_info_curr.xls_58,k57_1_info_curr.xls_72,1,0.752941,0,3.4,-1.490038,-1.13,k57m1-FINAL-FULL-3,CONTROL,92.04401,149.074566,229.829097,97.80382,190.648781,146.411305,147.324346,199.957627,97.569469,47.583461,145.148103,107.043174,109.12136,47.063678,194.472056,296.965018,94.493267,75.552347,66.554156,117.498298,140.108385,207.225327,145.00939,189.761922,297.1848,132.409201,144.885547,114.067922,113.681007,157.728889,80.652266,125.50156,161.848631,175.12805,177.867675,188.750906,116.277335,80.687669,133.928625,197.353004,142.027759,126.030094,208.458189,79.440189,206.793535,146.416802,227.25899,130.611941,126.193131,81.217897,99.877081,126.455876,77.894095,154.373356,164.417803,125.858516,103.629437,125.896214,141.019146,51.44142,76.224054,153.324838,215.101878,77.035603,88.639244,53.08069,178.648461,51.684988,149.786639,63.540544,90.262616,116.851737,166.652725,76.349536,76.862731,103.776689,77.282917,76.204243,102.618116,64.919846,75.495154,153.224586,77.389564,75.154949,39.210198,144.383081,102.529271,88.388904,37.815247,115.043996,87.813163,128.854214,103.219766,134.478893,102.166376,113.780669,75.954388,130.141293,38.25897,87.681048,0.30972,0.501622,0.773354,0.329101,0.641516,0.492661,0.495733,0.672839,0.328312,0.160114,0.48841,0.360191,0.367184,0.158365,0.654381,0.99926,0.317961,0.254227,0.223949,0.395371,0.471452,0.697295,0.487943,0.638532,1,0.445545,0.487527,0.383828,0.382526,0.530743,0.271388,0.422301,0.544606,0.58929,0.598509,0.63513,0.391263,0.271507,0.450658,0.664075,0.477911,0.42408,0.701443,0.267309,0.695842,0.492679,0.764706,0.439497,0.424628,0.273291,0.336077,0.425513,0.262107,0.519452,0.553251,0.423503,0.348704,0.423629,0.474517,0.173096,0.256487,0.515924,0.723798,0.259218,0.298263,0.178612,0.601136,0.173915,0.504019,0.213808,0.303726,0.393196,0.560771,0.256909,0.258636,0.349199,0.26005,0.25642,0.345301,0.218449,0.254034,0.515587,0.260409,0.25289,0.131939,0.485836,0.345002,0.297421,0.127245,0.387113,0.295483,0.433583,0.347325,0.452509,0.343781,0.382862,0.25558,0.437914,0.128738,0.295039,1,,,,,,,,,,,,,,,,,,,,,,,,,
625,Z15a,845,2.066796,4.103444,3.699649,2006-09-28_002_55,2006-09-28_002_72,1,0.752941,0,4.1,-1.81779,-2.07,2006-09-28_002_FINAL,CONTROL,107.467147,127.011717,157.224241,147.891347,129.861781,80.777427,134.907764,198.088815,69.298652,167.115282,162.300168,132.284333,132.465794,119.666907,119.122136,127.405691,132.57698,63.117526,203.849153,62.218806,106.149624,215.742349,122.053601,302.32964,97.622148,197.116088,70.448022,123.584903,197.67035,251.165773,109.424701,88.58657,150.281208,151.309163,151.569394,227.323254,199.365368,54.707604,182.824231,256.786751,174.945545,124.115155,163.636133,239.967603,185.489387,147.467823,133.279661,221.950878,45.691516,66.478542,134.148191,157.834369,78.948034,76.422689,75.877628,127.430137,69.932116,67.416148,101.354274,57.997806,80.737216,70.954584,119.335731,83.715901,102.493109,26.669346,89.854295,174.871066,85.328914,121.74888,113.037882,137.226068,171.472231,99.617576,92.409519,153.092396,145.047928,106.709058,73.935481,129.352563,150.190572,192.226523,153.667722,168.598498,175.148545,83.107969,10.158135,30.508324,77.167675,97.148195,30.162971,66.481155,39.357212,145.53217,65.259627,58.078296,71.304958,20.431704,136.830655,117.292658,0.355463,0.42011,0.520042,0.489173,0.429537,0.267183,0.446227,0.655208,0.229216,0.552759,0.536832,0.43755,0.43815,0.395816,0.394014,0.421413,0.438518,0.208771,0.674261,0.205798,0.351106,0.7136,0.40371,1,0.3229,0.651991,0.233017,0.408775,0.653824,0.830768,0.361938,0.293013,0.497077,0.500477,0.501338,0.751905,0.65943,0.180953,0.604718,0.84936,0.578658,0.410529,0.541251,0.793728,0.613534,0.487772,0.440842,0.734135,0.151131,0.219888,0.443715,0.522061,0.261132,0.252779,0.250976,0.421494,0.231311,0.222989,0.335244,0.191836,0.26705,0.234693,0.394721,0.276903,0.339011,0.088213,0.297206,0.578412,0.282238,0.402702,0.37389,0.453896,0.56717,0.3295,0.305658,0.506376,0.479767,0.352956,0.244553,0.427853,0.496778,0.635818,0.508279,0.557664,0.57933,0.274892,0.0336,0.100911,0.255243,0.321332,0.099768,0.219896,0.13018,0.481369,0.215856,0.192103,0.235852,0.067581,0.452588,0.387963,1,,,,,,,,,,,,,,,,,,,,,,,,,
626,Z10c,895,2.7223,3.983325,3.60605,2003-12-11_001_50,2003-12-11_001_72,1,0.752941,0,3.98,-1.717907,-2.72,2003-12-11-FINAL-NO-Gasps-3,CONTROL,122.000795,72.787384,81.250695,92.837339,76.600063,105.410999,108.514998,101.224355,156.192483,229.898808,179.167641,89.587196,159.194365,117.124663,79.118115,150.411215,171.858845,111.309241,209.848362,138.059865,120.066068,180.069936,132.02975,177.142055,178.37842,197.824467,104.831156,147.566188,196.683754,210.119072,180.975239,197.144143,163.725922,172.760437,243.633051,205.275502,191.809505,202.314752,107.230624,173.344641,166.103529,180.907398,190.227356,150.763268,113.323282,189.994528,84.71616,145.416663,157.33354,135.496838,172.367438,134.888453,170.4135,158.743812,138.055605,117.487252,132.68471,119.334765,129.807737,76.563339,109.339978,79.079298,74.303992,75.968269,57.630189,73.708385,78.347234,109.339187,74.001501,84.541215,91.456935,88.057964,93.938237,81.635061,106.988231,107.704689,92.127795,102.718812,90.955295,109.73609,78.720561,77.24707,61.44109,77.880371,83.517967,113.383937,86.118596,68.801752,100.269956,45.958142,80.018377,69.546678,75.047967,96.095288,76.319865,108.57982,74.502325,86.579812,78.462907,127.337228,0.500756,0.298758,0.333496,0.381054,0.314408,0.432663,0.445403,0.415479,0.641097,0.943627,0.7354,0.367714,0.653419,0.480742,0.324743,0.617368,0.7054,0.456872,0.86133,0.566671,0.492815,0.739103,0.541921,0.727085,0.73216,0.811977,0.430283,0.60569,0.807295,0.862441,0.742819,0.809185,0.672019,0.709101,1,0.84256,0.787289,0.830408,0.440132,0.711499,0.681777,0.74254,0.780795,0.618813,0.465139,0.779839,0.34772,0.596868,0.645781,0.556151,0.707488,0.553654,0.699468,0.651569,0.566654,0.48223,0.544609,0.489814,0.5328,0.314257,0.44879,0.324584,0.304983,0.311814,0.236545,0.302539,0.321579,0.448786,0.303742,0.347002,0.375388,0.361437,0.385573,0.335074,0.439137,0.442077,0.378142,0.421613,0.373329,0.450415,0.323111,0.317063,0.252187,0.319663,0.342802,0.465388,0.353477,0.282399,0.411561,0.188637,0.328438,0.285457,0.308037,0.394426,0.313257,0.445669,0.305797,0.35537,0.322054,0.52266,1,,,,,,,,,,,,,,,,,,,,,,,,,
627,A1a,996,3.4,-0.2,2.604891,2002-07-25_001_25,2002-07-25_001_37,1,0.752941,0,-0.2,-3.083542,-3.4,2002-07-25_001-POSTVX-v5f,CONTROL,130.589945,58.070314,95.412397,188.982961,132.18909,110.348638,230.58037,78.385286,114.555433,130.435207,112.244143,67.13235,109.782336,128.11932,133.946959,170.183515,72.821471,146.207826,140.772804,129.825574,123.883463,242.328057,192.641413,206.879916,144.095614,151.584618,121.729628,133.742462,164.989544,111.738355,275.120777,260.492323,207.575181,293.009112,272.685919,126.864367,147.888428,96.839008,171.709096,211.171349,175.493053,220.214018,254.227191,126.104,229.082321,198.260074,125.794737,58.589496,235.373387,141.666773,151.892708,125.035434,109.079194,154.90685,120.651967,72.10445,112.68981,129.243685,140.430519,64.169879,67.101593,34.605116,90.134816,27.09483,67.04917,67.974312,77.496817,83.909,32.956829,87.956878,81.471583,45.83157,110.193912,72.211112,65.524606,34.610156,44.357828,78.900433,70.849703,111.523793,65.269424,65.856338,44.294359,62.515149,59.481256,97.33957,96.603375,111.883972,67.565317,110.332164,61.699776,119.752355,109.010231,141.387694,32.7908,173.695657,147.020846,115.407316,77.91364,153.221938,0.445686,0.198186,0.325629,0.644973,0.451143,0.376605,0.786939,0.267518,0.390962,0.445158,0.383074,0.229114,0.374672,0.437254,0.457143,0.580813,0.24853,0.498987,0.480438,0.443077,0.422797,0.827032,0.657459,0.706053,0.491779,0.517338,0.415447,0.456445,0.563087,0.381348,0.93895,0.889025,0.708426,1,0.93064,0.432971,0.504723,0.330498,0.58602,0.720699,0.598934,0.75156,0.867643,0.430376,0.781827,0.676635,0.42932,0.199958,0.803297,0.483489,0.518389,0.426729,0.372272,0.528676,0.411769,0.246083,0.384595,0.441091,0.47927,0.219003,0.229009,0.118103,0.307618,0.092471,0.22883,0.231987,0.264486,0.28637,0.112477,0.300185,0.278051,0.156417,0.376077,0.246447,0.223627,0.11812,0.151387,0.269276,0.2418,0.380615,0.222756,0.224759,0.151171,0.213356,0.203001,0.332207,0.329694,0.381845,0.230591,0.376549,0.210573,0.408698,0.372037,0.482537,0.111911,0.5928,0.501762,0.393869,0.265909,0.522926,1,,,,,,,,,,,,,,,,,,,,,,,,,
629,A11a,984,4.286094,0.2,3.18086,2003-12-11_001_35,2003-12-11_001_26,1,0.752941,0,0.2,-3.663542,-4.29,2003-12-11-FINAL-NO-Gasps-3,CONTROL,89.270454,108.395352,98.061724,112.409579,136.669658,150.733208,120.699316,86.521085,102.822805,171.103626,117.552432,128.336177,97.320768,110.055446,139.223505,101.050118,129.257688,127.601108,130.854741,168.507982,129.608555,153.116411,145.507646,129.57723,136.02229,178.692931,184.025533,157.403307,151.979534,157.496429,142.278774,191.596733,158.756788,155.589627,134.821052,161.707877,185.104186,206.609207,194.704716,179.114753,208.6346,222.793015,178.318795,170.94619,235.94821,165.245291,147.410669,207.325736,182.916812,177.225009,160.849335,124.366333,121.649108,106.324398,80.276789,79.95106,77.692179,89.738236,39.733029,62.578393,46.893341,48.458982,48.428634,52.427392,54.485595,73.070579,52.305706,40.178776,83.035178,74.090026,86.863595,94.985828,64.332255,101.527593,96.090492,93.4995,105.80496,106.957549,111.148992,95.916178,108.715038,100.212781,121.60626,118.526095,132.736542,91.997442,125.474428,118.500308,120.235079,111.535408,97.845908,116.810845,112.551354,126.29721,143.559671,97.431206,117.378801,109.60834,125.976468,119.775474,0.378348,0.459403,0.415607,0.476416,0.579236,0.63884,0.51155,0.366695,0.435785,0.725175,0.498213,0.543917,0.412467,0.466439,0.59006,0.428272,0.547822,0.540801,0.554591,0.714174,0.549309,0.648941,0.616693,0.549177,0.576492,0.75734,0.77994,0.66711,0.644122,0.667504,0.603008,0.812029,0.672846,0.659423,0.571401,0.685353,0.784512,0.875655,0.825201,0.759127,0.884239,0.944245,0.755754,0.724507,1,0.700346,0.624759,0.878692,0.775241,0.751118,0.681715,0.527092,0.515575,0.450626,0.340231,0.33885,0.329276,0.38033,0.168397,0.265221,0.198744,0.20538,0.205251,0.222199,0.230922,0.309689,0.221683,0.170286,0.351921,0.31401,0.368147,0.402571,0.272654,0.430296,0.407252,0.396271,0.448425,0.453309,0.471074,0.406514,0.460758,0.424724,0.515394,0.502339,0.562566,0.389905,0.531788,0.50223,0.509582,0.472711,0.414692,0.49507,0.477017,0.535275,0.608437,0.412935,0.497477,0.464544,0.533916,0.507635,1,,,,,,,,,,,,,,,,,,,,,,,,,
638,Z7,807,3.160998,4.523118,3.832525,2014-04-10_001_31,2014-04-10_001_56,1,0.752941,0,4.52,-1.945768,-3.16,2014-04-10_001-v6f,CONTROL,172.360993,243.779777,207.992478,181.161571,172.264851,169.39154,155.742589,247.576937,120.887985,157.268506,219.53239,173.672714,246.681661,193.253424,126.602107,183.507081,186.577637,120.572733,208.293551,146.668028,144.4483,111.909934,121.915263,112.005666,169.75769,121.876423,196.112694,172.50233,120.256876,170.014386,83.298233,119.108203,85.595832,172.06792,241.372562,170.589567,151.876291,169.832926,98.520588,170.90294,159.224057,155.248913,158.619898,185.344466,96.401573,110.51459,170.410511,108.075512,197.048445,132.007139,99.221506,41.589103,0,39.488804,48.537357,48.996266,124.063851,122.765301,40.387504,80.577441,131.312752,89.972695,64.394605,95.895555,57.364491,104.83912,197.028427,80.954312,97.798376,104.14184,163.840322,65.235525,73.300303,107.26176,137.617259,54.897917,114.436653,60.301563,91.935588,71.064399,73.58067,72.690287,90.819511,91.357989,99.78573,104.787713,80.614719,81.216429,88.799848,104.55238,99.146094,105.759431,24.634369,122.273578,97.842978,72.280159,32.858809,79.674236,81.777061,123.038482,0.696192,0.984663,0.840112,0.731738,0.695803,0.684198,0.629067,1,0.488285,0.635231,0.886724,0.70149,0.996384,0.780579,0.511365,0.741212,0.753615,0.487011,0.841329,0.592414,0.583448,0.452021,0.492434,0.452408,0.685677,0.492277,0.792128,0.696763,0.485735,0.686713,0.336454,0.481096,0.345734,0.695008,0.97494,0.689037,0.613451,0.68598,0.397939,0.690302,0.64313,0.627073,0.640689,0.748634,0.38938,0.446385,0.688313,0.436533,0.795908,0.533196,0.40077,0.167985,0,0.159501,0.19605,0.197903,0.501112,0.495867,0.163131,0.325464,0.530392,0.363413,0.260099,0.387336,0.231704,0.423461,0.795827,0.326986,0.395022,0.420644,0.661775,0.263496,0.296071,0.433246,0.555857,0.221741,0.462227,0.243567,0.371341,0.28704,0.297203,0.293607,0.366833,0.369008,0.403049,0.423253,0.325615,0.328045,0.358676,0.422303,0.400466,0.427178,0.099502,0.493881,0.395202,0.29195,0.132722,0.321816,0.33031,0.496971,1,,,,,,,,,,,,,,,,,,,,,,,,,
639,A11,911,4.181279,0.2,2.892884,2004-01-08_001_35,2004-01-08_001_26,1,0.752941,0,0.2,-3.373542,-4.18,2004-01-08_001-FINAL-no-gasp,CONTROL,148.755339,187.616767,111.399064,151.625102,158.368809,244.404548,166.902298,198.069041,180.085281,140.031258,101.081178,131.861653,186.199783,161.558984,67.029589,165.467442,120.976821,157.662275,167.921757,168.750928,167.701831,130.086913,156.524763,196.838749,233.766731,160.672241,216.389283,234.947032,149.191673,140.730107,176.913692,151.120379,205.635628,130.143431,225.773887,131.288869,148.431307,196.697826,128.147084,204.664613,197.161948,232.94201,202.651011,142.846648,176.65903,152.306755,172.04461,175.685533,217.136005,111.241161,80.970857,52.125048,21.798941,32.867953,15.505957,25.64766,36.571366,50.983562,52.599101,77.987173,79.682881,91.354797,65.950243,111.138432,132.200672,80.914229,62.952155,82.466517,138.174864,102.95849,70.300919,84.355455,57.74158,98.087497,69.888244,115.819598,69.508161,79.618259,118.406792,74.434428,57.507802,79.715752,64.049794,114.846204,86.953225,111.275501,75.303928,92.119728,114.017912,127.98599,97.723932,69.455223,133.816253,74.920322,89.922934,64.178018,121.963164,36.982668,73.427066,46.073448,0.608644,0.767648,0.455798,0.620386,0.647978,1,0.682894,0.810415,0.736833,0.572949,0.413581,0.539522,0.761851,0.661031,0.274257,0.677023,0.494986,0.645087,0.687065,0.690457,0.686165,0.532261,0.640433,0.805381,0.956475,0.657403,0.885373,0.961304,0.610429,0.575808,0.723856,0.618321,0.841374,0.532492,0.923771,0.537179,0.607318,0.804804,0.524324,0.837401,0.806703,0.9531,0.829162,0.584468,0.722814,0.623175,0.703934,0.718831,0.888429,0.455152,0.331298,0.213274,0.089192,0.134482,0.063444,0.104939,0.149635,0.208603,0.215213,0.319091,0.326029,0.373785,0.26984,0.454731,0.540909,0.331067,0.257574,0.337418,0.565353,0.421263,0.287642,0.345147,0.236254,0.401333,0.285953,0.473885,0.284398,0.325764,0.48447,0.304554,0.235298,0.326163,0.262065,0.469902,0.355776,0.455292,0.308112,0.376915,0.466513,0.523665,0.399845,0.284181,0.547519,0.306542,0.367927,0.262589,0.499022,0.151317,0.300432,0.188513,1,,,,,,,,,,,,,,,,,,,,,,,,,
640,D15a,735,2.725363,3.617913,2.770628,2013-11-07_001_15,2013-11-07_001_1,1,0.752941,0,3.62,-1.070594,-2.73,2013-11-07_001-v13f,CONTROL,108.779986,127.914885,100.987347,119.729913,128.23518,119.641549,110.269739,128.704844,100.764765,112.58911,138.009178,164.157705,147.835698,118.84663,156.405303,173.31298,120.810032,80.73059,109.741593,147.888338,103.654758,125.994264,184.094473,171.789974,109.541693,137.850107,109.870603,87.379595,237.282209,175.845255,209.303829,155.854229,162.642837,136.494174,194.471925,230.017934,191.09742,172.517459,230.252956,183.108583,220.707205,128.929936,165.140091,213.098765,136.857716,143.467006,189.936569,110.503119,228.970208,154.61493,24.552872,0,48.42799,36.051397,35.414909,48.450517,77.669199,92.994524,55.031835,71.089645,66.740435,54.714284,95.896729,79.381796,90.763478,66.989262,102.921089,97.366835,85.571741,109.383297,134.489696,122.27625,109.663161,127.159965,126.827741,60.580247,126.311218,90.621675,127.994742,137.453555,114.781868,113.17044,59.936104,151.729063,149.092851,153.037254,133.646378,78.874523,96.593815,78.392042,133.916199,103.208728,90.589898,116.482214,114.796284,146.500054,97.885953,90.403488,119.154633,185.73229,0.458441,0.539083,0.4256,0.504589,0.540433,0.504216,0.46472,0.542413,0.424662,0.474495,0.581625,0.691825,0.623037,0.500866,0.659153,0.730409,0.509141,0.34023,0.462494,0.623259,0.436842,0.530989,0.775846,0.72399,0.461652,0.580954,0.463038,0.368252,1,0.741081,0.882088,0.656831,0.685441,0.57524,0.819581,0.969386,0.805359,0.727056,0.970376,0.771691,0.930146,0.543361,0.695965,0.898082,0.576772,0.604626,0.800467,0.465703,0.96497,0.651608,0.103475,0,0.204094,0.151935,0.149252,0.204189,0.327328,0.391915,0.231926,0.2996,0.28127,0.230587,0.404146,0.334546,0.382513,0.282319,0.43375,0.410342,0.360633,0.460984,0.566792,0.51532,0.462163,0.535902,0.534502,0.255309,0.532325,0.381915,0.53942,0.579283,0.483736,0.476944,0.252594,0.639446,0.628336,0.644959,0.563238,0.332408,0.407084,0.330375,0.564375,0.434962,0.381781,0.490902,0.483796,0.617409,0.41253,0.380996,0.502164,0.782748,1,,,,,,,,,,,,,,,,,,,,,,,,,
641,P13a,533,-1,4.851763,1.77195,2004-01-08_001_13,2004-01-08_001_4,1,0.752941,0,4.85,0.831735,-11.5,2004-01-08_001-FINAL-no-gasp,CONTROL,137.683124,153.9739,150.982533,149.986756,152.896558,127.773022,151.427101,154.46768,125.0616,117.85981,135.100066,151.89625,133.021748,155.088533,146.644677,141.003942,177.275146,174.637568,133.9023,151.67517,190.232732,162.273115,155.1947,187.627547,148.226583,209.934351,193.501354,192.84449,187.538022,186.629238,183.539023,178.052756,219.774515,182.527208,186.563996,198.076727,212.957442,180.44213,233.296447,211.898259,196.386524,202.084701,172.428515,211.483517,170.61462,193.439417,186.106161,192.042456,167.401973,133.721651,79.680395,28.814897,27.937463,44.725463,47.552874,71.667412,67.485681,68.93248,67.149764,47.925703,70.35812,75.70675,68.745159,74.966804,72.501341,65.961793,58.160287,88.53224,72.286729,73.159367,88.151284,78.461669,71.972944,69.960894,87.821909,89.813227,71.724305,55.1318,87.713361,87.939881,83.8426,85.333414,74.904358,90.45573,83.666547,78.519395,86.638687,95.729684,66.800729,94.293327,90.775731,80.953193,80.513358,97.018678,80.809368,87.535234,95.536763,90.714122,85.177796,108.000987,0.590164,0.659992,0.64717,0.642902,0.655375,0.547685,0.649076,0.662109,0.536063,0.505193,0.579092,0.651087,0.570183,0.66477,0.628577,0.604398,0.759871,0.748565,0.573958,0.650139,0.815412,0.695566,0.665225,0.804245,0.635357,0.899861,0.829423,0.826607,0.803861,0.799966,0.78672,0.763204,0.94204,0.782383,0.799686,0.849034,0.912819,0.773446,1,0.908279,0.84179,0.866214,0.739096,0.906501,0.731321,0.829157,0.797724,0.823169,0.71755,0.573183,0.341541,0.123512,0.119751,0.191711,0.20383,0.307195,0.28927,0.295472,0.28783,0.205428,0.301582,0.324509,0.294669,0.321337,0.310769,0.282738,0.249298,0.379484,0.309849,0.31359,0.377851,0.336317,0.308504,0.29988,0.376439,0.384975,0.307438,0.236317,0.375974,0.376945,0.359382,0.365772,0.321069,0.387729,0.358628,0.336565,0.371367,0.410335,0.286334,0.404178,0.3891,0.346997,0.345112,0.41586,0.346381,0.37521,0.409508,0.388836,0.365105,0.462935,1,,,,,,,,,,,,,,,,,,,,,,,,,
